date,pm2.5
01/01/2018 00:00,10
01/01/2018 01:00,15
01/01/2018 02:00,13.75
01/01/2018 03:00,13.25
01/01/2018 04:00,5.5
01/01/2018 05:00,7.25
01/01/2018 06:00,7.75
01/01/2018 07:00,7
01/01/2018 08:00,7.5
01/01/2018 09:00,9.666666667
01/01/2018 10:00,11.25
01/01/2018 11:00,11.75
01/01/2018 12:00,10.5
01/01/2018 13:00,9.75
01/01/2018 14:00,11.75
01/01/2018 15:00,10
01/01/2018 16:00,6.25
01/01/2018 17:00,5
01/01/2018 18:00,7
01/01/2018 19:00,8
01/01/2018 20:00,11
01/01/2018 21:00,10.5
01/01/2018 22:00,8.75
01/01/2018 23:00,7.5
02/01/2018 00:00,6
02/01/2018 01:00,5.75
02/01/2018 02:00,5.5
02/01/2018 03:00,7.5
02/01/2018 04:00,9.5
02/01/2018 05:00,11.25
02/01/2018 06:00,13.75
02/01/2018 07:00,17.5
02/01/2018 08:00,12.25
02/01/2018 09:00,11.75
02/01/2018 10:00,16.33333333
02/01/2018 11:00,13
02/01/2018 12:00,7.25
02/01/2018 13:00,8.25
02/01/2018 14:00,9.5
02/01/2018 15:00,10.75
02/01/2018 16:00,11
02/01/2018 17:00,13.75
02/01/2018 18:00,12.25
02/01/2018 19:00,9.5
02/01/2018 20:00,7.75
02/01/2018 21:00,7.5
02/01/2018 22:00,9.333333333
02/01/2018 23:00,9
03/01/2018 00:00,6
03/01/2018 01:00,6.25
03/01/2018 02:00,7.5
03/01/2018 03:00,9.25
03/01/2018 04:00,9.75
03/01/2018 05:00,10.25
03/01/2018 06:00,12.75
03/01/2018 07:00,9
03/01/2018 08:00,9.75
03/01/2018 09:00,12.5
03/01/2018 10:00,13.75
03/01/2018 11:00,12.25
03/01/2018 12:00,9.5
03/01/2018 13:00,8.5
03/01/2018 14:00,11
03/01/2018 15:00,14.66666667
03/01/2018 16:00,15.33333333
03/01/2018 17:00,14.25
03/01/2018 18:00,14.5
03/01/2018 19:00,13
03/01/2018 20:00,12.5
03/01/2018 21:00,12
03/01/2018 22:00,14.25
03/01/2018 23:00,12
